"","Parnassius_mnemosyne","Parnassius_apollo","Parnassius_phoebus","Zerynthia_polyxena","Iphiclides_podalirius","Papilio_alexanor","Papilio_machaon","Carcharodus_alceae","Spialia_sertorius","Muschampia_floccifera","Muschampia_lavatherae","Muschampia_baeticus","Erynnis_tages","Pyrgus_carthami","Pyrgus_malvoides","Pyrgus_malvae","Pyrgus_andromedae","Pyrgus_cacaliae","Pyrgus_serratulae","Pyrgus_armoricanus","Pyrgus_cirsii","Pyrgus_carlinae","Pyrgus_onopordi","Pyrgus_warrenensis","Pyrgus_alveus","Heteropterus_morpheus","Carterocephalus_palaemon","Thymelicus_acteon","Thymelicus_sylvestris","Thymelicus_lineola","Ochlodes_sylvanus","Hesperia_comma","Leptidea_juvernica","Leptidea_sinapis","Gonepteryx_rhamni","Gonepteryx_cleopatra","Colias_hyale","Colias_alfacariensis","Colias_phicomone","Colias_crocea","Colias_palaeno","Anthocharis_euphenoides","Anthocharis_cardamines","Euchloe_simplonia","Aporia_crataegi","Pontia_callidice","Pontia_edusa","Pieris_brassicae","Pieris_rapae","Pieris_mannii","Pieris_bryoniae","Pieris_napi","Hamearis_lucina","Lycaena_phlaeas","Lycaena_virgaureae","Lycaena_tityrus","Lycaena_helle","Lycaena_alciphron","Lycaena_dispar","Lycaena_hippothoe","Thecla_betulae","Favonius_quercus","Callophrys_rubi","Satyrium_pruni","Satyrium_w-album","Satyrium_acaciae","Satyrium_spini","Satyrium_ilicis","Cacyreus_marshalli","Lampides_boeticus","Celastrina_argiolus","Phengaris_alcon","Phengaris_arion","Phengaris_teleius","Phengaris_nausithous","Scolitantides_orion","Iolana_iolas","Glaucopsyche_alexis","Pseudophilotes_baton","Leptotes_pirithous","Cupido_argiades","Cupido_alcetas","Cupido_osiris","Cupido_minimus","Plebejus_argus","Plebejus_idas","Plebejus_argyrognomon","Eumedonia_eumedon","Kretania_trappi","Cyaniris_semiargus","Agriades_optilete","Agriades_orbitulus","Agriades_glandon","Aricia_nicias","Aricia_artaxerxes","Aricia_agestis","Lysandra_bellargus","Lysandra_coridon","Polyommatus_escheri","Polyommatus_thersites","Polyommatus_amandus","Polyommatus_daphnis","Polyommatus_icarus","Polyommatus_eros","Polyommatus_dorylas","Polyommatus_damon","Neptis_rivularis","Limenitis_populi","Limenitis_reducta","Limenitis_camilla","Issoria_lathonia","Brenthis_daphne","Brenthis_ino","Argynnis_pandora","Argynnis_paphia","Speyeria_aglaja","Fabriciana_adippe","Fabriciana_niobe","Boloria_pales","Boloria_napaea","Boloria_aquilonaris","Boloria_selene","Boloria_dia","Boloria_euphrosyne","Boloria_titania","Apatura_iris","Apatura_ilia","Araschnia_levana","Vanessa_cardui","Vanessa_atalanta","Aglais_io","Aglais_urticae","Polygonia_egea","Polygonia_c-album","Nymphalis_polychloros","Nymphalis_antiopa","Euphydryas_aurinia","Euphydryas_cynthia","Euphydryas_intermedia","Melitaea_didyma","Melitaea_phoebe","Melitaea_cinxia","Melitaea_diamina","Melitaea_aurelia","Melitaea_varia","Melitaea_parthenoides","Melitaea_deione","Melitaea_celadussa","Melitaea_athalia","Melitaea_britomartis","Libythea_celtis","Lasiommata_maera","Lasiommata_petropolitana","Lasiommata_megera","Pararge_aegeria","Lopinga_achine","Coenonympha_oedippus","Coenonympha_glycerion","Coenonympha_pamphilus","Coenonympha_tullia","Coenonympha_dorus","Coenonympha_hero","Coenonympha_gardetta","Coenonympha_arcania","Melanargia_galathea","Hipparchia_statilinus","Hipparchia_fagi","Hipparchia_semele","Oeneis_glacialis","Arethusana_arethusa","Minois_dryas","Brintesia_circe","Satyrus_ferula","Chazara_briseis","Hyponephele_lycaon","Aphantopus_hyperantus","Pyronia_tithonus","Pyronia_cecilia","Maniola_jurtina","Erebia_nivalis","Erebia_tyndarus","Erebia_arvernensis","Erebia_christi","Erebia_pharte","Erebia_epiphron","Erebia_meolans","Erebia_albergana","Erebia_triarius","Erebia_medusa","Erebia_aethiops","Erebia_pandrose","Erebia_flavofasciata","Erebia_gorge","Erebia_pluto","Erebia_sudetica","Erebia_melampus","Erebia_manto","Erebia_eriphyle","Erebia_euryale","Erebia_ligea","Erebia_oeme","Erebia_mnestra","Erebia_pronoe","Erebia_montana","Erebia_styx","Hipparchia_alcyone"
"Corydalis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sempervivum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylotelephium",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sedum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodiola",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petrosedum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saxifraga",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phedimus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aristolochia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
